Item Internal Id,Price level,Unit Price,Internal Id,External ID
133,EquaGel 1,191.15,1076,cust_1
134,EquaGel 1,191.15,1076,cust_1
135,EquaGel 1,191.15,1076,cust_1
136,EquaGel 1,191.15,1076,cust_1
137,EquaGel 1,191.15,1076,cust_1
138,EquaGel 1,191.15,1076,cust_1
139,EquaGel 1,191.15,1076,cust_1
140,EquaGel 1,191.15,1076,cust_1
141,EquaGel 1,191.15,1076,cust_1
142,EquaGel 1,191.15,1076,cust_1
143,EquaGel 1,191.15,1076,cust_1
144,EquaGel 1,191.15,1076,cust_1
149,EquaGel 1,229.25,1076,cust_1
150,EquaGel 1,229.25,1076,cust_1
151,EquaGel 1,229.25,1076,cust_1
152,EquaGel 1,229.25,1076,cust_1
153,EquaGel 1,229.25,1076,cust_1
154,EquaGel 1,229.25,1076,cust_1
155,EquaGel 1,229.25,1076,cust_1
156,EquaGel 1,229.25,1076,cust_1
159,EquaGel 1,317.46,1076,cust_1
160,EquaGel 1,317.46,1076,cust_1
161,EquaGel 1,317.46,1076,cust_1
162,EquaGel 1,317.46,1076,cust_1
163,EquaGel 1,317.46,1076,cust_1
164,EquaGel 1,317.46,1076,cust_1
165,EquaGel 1,317.46,1076,cust_1
166,EquaGel 1,317.46,1076,cust_1
168,EquaGel 1,397.46,1076,cust_1
172,EquaGel 1,44.06,1076,cust_1
173,EquaGel 1,44.06,1076,cust_1
174,EquaGel 1,44.06,1076,cust_1
175,EquaGel 1,44.06,1076,cust_1
177,EquaGel 1,44.06,1076,cust_1
178,EquaGel 1,44.06,1076,cust_1
7917,EquaGel 1,44.06,1076,cust_1
179,EquaGel 1,44.06,1076,cust_1
181,EquaGel 1,44.06,1076,cust_1
182,EquaGel 1,44.06,1076,cust_1
183,EquaGel 1,44.06,1076,cust_1
184,EquaGel 1,44.06,1076,cust_1
185,EquaGel 1,44.06,1076,cust_1
186,EquaGel 1,44.06,1076,cust_1
187,EquaGel 1,44.06,1076,cust_1
188,EquaGel 1,44.06,1076,cust_1
189,EquaGel 1,44.06,1076,cust_1
205,Discount 22.5%,168.18,1076,cust_1
206,Discount 15%,177.65,1076,cust_1
207,Discount 22.5%,189.1,1076,cust_1
209,Discount 15%,160.65,1076,cust_1
4555,Discount 20%,40.96,1076,cust_1
7142,Custom,4995,1076,cust_1
582,Discount 15%,3823.3,1076,cust_1
6006,Discount 20%,38,1076,cust_1
6010,Discount 25%,1308.75,1076,cust_1
6507,Discount 20%,199.92,1076,cust_1
1419,Discount 15%,420.75,1076,cust_1
1421,Discount 15%,548.25,1076,cust_1
1425,Discount 15%,480.25,1076,cust_1
1426,Discount 15%,616.25,1076,cust_1
1429,Discount 15%,607.75,1076,cust_1
4298,Discount 25%,1196.25,1076,cust_1
133,EquaGel 1,191.15,3125,3125
134,EquaGel 1,191.15,3125,3125
135,EquaGel 1,191.15,3125,3125
136,EquaGel 1,191.15,3125,3125
137,EquaGel 1,191.15,3125,3125
138,EquaGel 1,191.15,3125,3125
139,EquaGel 1,191.15,3125,3125
140,EquaGel 1,191.15,3125,3125
141,EquaGel 1,191.15,3125,3125
142,EquaGel 1,191.15,3125,3125
143,EquaGel 1,191.15,3125,3125
144,EquaGel 1,191.15,3125,3125
149,EquaGel 1,229.25,3125,3125
150,EquaGel 1,229.25,3125,3125
151,EquaGel 1,229.25,3125,3125
152,EquaGel 1,229.25,3125,3125
153,EquaGel 1,229.25,3125,3125
154,EquaGel 1,229.25,3125,3125
155,EquaGel 1,229.25,3125,3125
156,EquaGel 1,229.25,3125,3125
159,EquaGel 1,317.46,3125,3125
160,EquaGel 1,317.46,3125,3125
161,EquaGel 1,317.46,3125,3125
162,EquaGel 1,317.46,3125,3125
163,EquaGel 1,317.46,3125,3125
164,EquaGel 1,317.46,3125,3125
165,EquaGel 1,317.46,3125,3125
166,EquaGel 1,317.46,3125,3125
168,EquaGel 1,397.46,3125,3125
172,EquaGel 1,44.06,3125,3125
173,EquaGel 1,44.06,3125,3125
174,EquaGel 1,44.06,3125,3125
175,EquaGel 1,44.06,3125,3125
177,EquaGel 1,44.06,3125,3125
178,EquaGel 1,44.06,3125,3125
7917,EquaGel 1,44.06,3125,3125
179,EquaGel 1,44.06,3125,3125
181,EquaGel 1,44.06,3125,3125
182,EquaGel 1,44.06,3125,3125
183,EquaGel 1,44.06,3125,3125
184,EquaGel 1,44.06,3125,3125
185,EquaGel 1,44.06,3125,3125
186,EquaGel 1,44.06,3125,3125
187,EquaGel 1,44.06,3125,3125
188,EquaGel 1,44.06,3125,3125
189,EquaGel 1,44.06,3125,3125
205,Discount 22.5%,168.18,3125,3125
206,Discount 15%,177.65,3125,3125
207,Discount 22.5%,189.1,3125,3125
209,Discount 15%,160.65,3125,3125
4555,Discount 20%,40.96,3125,3125
7142,Custom,4995,3125,3125
582,Discount 15%,3823.3,3125,3125
6006,Discount 20%,38,3125,3125
6010,Discount 25%,1308.75,3125,3125
6507,Discount 20%,199.92,3125,3125
1419,Discount 15%,420.75,3125,3125
1421,Discount 15%,548.25,3125,3125
1425,Discount 15%,480.25,3125,3125
1426,Discount 15%,616.25,3125,3125
1429,Discount 15%,607.75,3125,3125
4298,Discount 25%,1196.25,3125,3125
